Problem 2.3

Time (s)	Velocity With Air Drag
14.68		12.309
14.69		12.3097
14.7		12.3104
14.71		12.3111
14.72		12.3118
14.73		12.3125
14.74		12.3131
14.75		12.3138
14.76		12.3145
14.77		12.3152
14.78		12.3159
14.79		12.3166
14.8		12.3173
14.81		12.3179
14.82		12.3186
14.83		12.3193
14.84		12.32
14.85		12.3207
14.86		12.3213
14.87		12.322
14.88		12.3227
14.89		12.3234
14.9		12.3241
14.91		12.3247
14.92		12.3254
14.93		12.3261
14.94		12.3268
14.95		12.3274
14.96		12.3281
14.97		12.3288
14.98		12.3294
14.99		12.3301
15		12.3308
15.01		12.3315
15.02		12.3321
15.03		12.3328
15.04		12.3335
15.05		12.3341
15.06		12.3348
15.07		12.3355
15.08		12.3361
15.09		12.3368
15.1		12.3374
15.11		12.3381
15.12		12.3388
15.13		12.3394
15.14		12.3401
15.15		12.3408
15.16		12.3414
15.17		12.3421
15.18		12.3427
15.19		12.3434
15.2		12.344
15.21		12.3447
15.22		12.3454
15.23		12.346
15.24		12.3467
15.25		12.3473
15.26		12.348
15.27		12.3486
15.28		12.3493
15.29		12.3499
15.3		12.3506
15.31		12.3512
15.32		12.3519
15.33		12.3525
15.34		12.3532
15.35		12.3538
15.36		12.3545
15.37		12.3551
15.38		12.3558
15.39		12.3564
15.4		12.3571
15.41		12.3577
15.42		12.3583
15.43		12.359
15.44		12.3596
15.45		12.3603
15.46		12.3609
15.47		12.3615
15.48		12.3622
15.49		12.3628
15.5		12.3635
15.51		12.3641
15.52		12.3647
15.53		12.3654
15.54		12.366
15.55		12.3666
15.56		12.3673
